GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YML075C,HMG1,-0.026,0,0,5.71E-01,1.00E+00,1.00E+00
YGR291C,YGR291C,-0.345,-0.29,0.06,3.32E-02,1.98E-01,9.13E-01
YIR039C,YPS6,-0.217,0.402,-0.648,5.46E-05,1.37E-05,1.14E-14
YOR138C,YOR138C,0.097,-0.329,0.448,2.44E-02,5.26E-05,1.06E-04
YBR171W,SEC66,0.104,-0.453,0.458,1.45E-01,3.10E-05,1.82E-04
YBR244W,YBR244W,-0.05,-0.123,0.111,4.72E-01,1.74E-01,4.52E-01
YHL028W,WSC4,-0.989,0.01,-0.462,5.05E-07,8.40E-01,1.17E-06
YPL012W,YPL012W,0.142,0.341,0.03,1.23E-02,1.57E-01,9.29E-01
YOL033W,MSE1,-0.024,-0.025,-0.26,6.41E-01,6.92E-01,7.16E-02
YOL106W,YOL106W,-0.261,0.143,-0.295,3.32E-07,1.75E-02,3.36E-06
YNL054W,VAC7,0.103,-0.018,0.279,2.69E-02,7.65E-01,1.09E-02
YNL127W,YNL127W,0.212,-0.037,0.126,6.46E-04,6.65E-01,3.20E-01
YJR018W,YJR018W,-0.127,-0.04,-0.131,3.37E-02,5.20E-01,2.10E-01
YDR130C,YDR130C,0.099,-0.026,0.149,4.06E-02,5.97E-01,2.39E-01
YBR172C,SMY2,0.169,-0.26,0.574,5.30E-03,1.24E-02,5.86E-02
YBR245C,ISW1,0.233,0.378,-0.001,3.67E-05,2.71E-04,1.00E+00
YHL029C,YHL029C,0.126,-0.427,0.113,9.31E-03,1.78E-04,3.83E-01
YPR117W,YPR117W,0.119,0,0,2.87E-01,1.00E+00,1.00E+00
YPL013C,YPL013C,0.196,-0.153,0.26,3.27E-04,2.97E-02,3.59E-02
YOR065W,CYT1,0.193,0.074,-0.335,1.92E-04,1.38E-01,8.01E-08
YNL055C,POR1,0.004,0.11,-0.309,9.15E-01,9.29E-03,1.53E-06
YJR019C,TES1,0.508,0.411,0.06,1.75E-08,7.00E-08,5.43E-01
YML076C,YML076C,0.034,-0.037,-0.323,5.39E-01,6.56E-01,6.51E-03
YPR045C,YPR045C,0.178,0.047,0.078,2.01E-03,4.63E-01,3.77E-01
YOR139C,YOR139C,-0.002,-0.088,0.704,1.00E+00,8.22E-01,6.81E-02
YGL260W,YGL260W,-0.193,0.12,-0.241,1.01E-04,3.44E-02,5.36E-02
YIL008W,YIL008W,-0.167,-0.34,-0.185,3.47E-02,8.39E-03,5.28E-01
YOL034W,YOL034W,0.526,0,0.721,3.81E-02,3.97E-01,1.04E-03
YOL107W,YOL107W,-0.162,-0.168,-0.557,5.22E-03,2.45E-02,2.19E-04
YER110C,KAP123,0.05,-0.233,0.43,2.61E-01,2.96E-04,3.63E-07
YNL128W,TEP1,-0.092,-0.176,0.036,3.03E-01,3.01E-01,8.70E-01
YGR292W,MAL12,0.077,0.235,-0.706,5.80E-01,1.22E-02,1.34E-04
YDR131C,YDR131C,-0.025,0.168,-0.309,6.60E-01,2.55E-02,6.85E-03
YGL261C,YGL261C,-0.041,0.051,-0.166,3.15E-01,3.32E-01,1.11E-01
YBR173C,UMP1,-0.014,0.125,-0.014,7.04E-01,5.45E-02,8.41E-01
YPR118W,YPR118W,-0.164,-0.333,-0.082,1.24E-04,1.38E-04,2.81E-01
YOR066W,YOR066W,-0.271,-0.038,-0.248,3.31E-06,4.55E-01,4.01E-03
YOL035C,YOL035C,-0.048,-0.342,0.764,7.68E-01,3.03E-01,1.54E-03
YOL108C,INO4,-0.027,0.069,0.227,5.99E-01,2.18E-01,3.32E-02
YGR293C,YGR293C,-0.189,-0.365,0.144,1.20E-02,7.11E-02,4.26E-01
YOR350C,MNE1,0.086,0.161,0.081,7.80E-02,1.15E-02,4.15E-01
YOR067C,ALG8,-0.296,-0.056,-0.395,1.57E-07,2.48E-01,6.03E-08
YDR204W,COQ4,0.073,0.171,-0.05,7.61E-02,1.76E-03,4.07E-01
YDL100C,YDL100C,-0.097,-0.197,-0.352,1.08E-02,2.17E-03,2.08E-07
YIL009W,FAA3,0.114,-0.513,0.253,9.89E-02,2.06E-03,4.05E-01
YBR246W,YBR246W,-0.115,-0.118,0.001,1.77E-02,3.30E-02,1.00E+00
YPL014W,YPL014W,-0.72,-0.369,-0.446,5.82E-10,3.57E-06,1.30E-08
YNL056W,YNL056W,-0.147,-0.063,0.027,3.75E-03,2.72E-01,7.95E-01
YER111C,SWI4,0.195,-0.105,0.16,5.61E-04,3.32E-01,1.56E-01
YNL129W,YNL129W,-0.01,-0.798,-0.126,9.06E-01,4.29E-05,8.11E-01
YML077W,BET5,-0.086,-0.468,0.425,3.91E-01,3.26E-02,2.19E-01
YDR132C,YDR132C,0.043,0.089,-0.08,3.43E-01,3.43E-01,4.05E-01
YJR010C-A,SPC1,-0.139,0.032,-0.12,5.09E-02,6.58E-01,4.63E-01
YPR046W,MCM16,-0.068,-0.441,0.515,3.72E-01,5.63E-02,1.44E-01
YBR174C,YBR174C,-0.1,-0.763,0,3.56E-01,2.91E-03,9.10E-01
YBR247C,ENP1,0.298,-1.047,1.231,4.18E-06,4.89E-06,1.31E-04
YPR119W,CLB2,-0.234,-0.279,-0.342,3.92E-06,6.26E-04,1.64E-05
YPL015C,HST2,-0.29,0.253,-0.318,1.21E-06,1.13E-05,1.31E-05
YER093C-A,YER093C-A,0.085,0.059,-0.044,1.27E-01,5.57E-01,7.37E-01
YOR351C,MEK1,0.48,0.166,0.976,1.45E-01,5.45E-01,7.02E-03
YOR068C,YOR068C,0.083,-0.083,0.312,2.75E-01,5.51E-01,1.33E-01
YDR205W,YDR205W,0.051,0.197,0.273,4.18E-01,9.91E-02,2.52E-02
YGL262W,YGL262W,-0.261,-0.235,0,4.27E-02,3.65E-01,1.00E+00
YDL101C,DUN1,0.262,-0.046,-0.093,6.28E-04,6.87E-01,5.44E-01
YBL070C,YBL070C,-0.108,-0.469,-0.027,5.24E-01,1.26E-02,9.20E-01
YJL200C,YJL200C,0.195,-0.263,-0.051,1.97E-04,2.73E-03,6.13E-01
YOL036W,YOL036W,0.015,0,-0.388,7.14E-01,6.65E-01,3.20E-01
YOL109W,ZEO1,0.26,-0.333,0.21,3.65E-06,2.28E-05,4.29E-03
YNL057W,YNL057W,-0.523,-0.184,-0.012,1.43E-08,4.58E-02,9.10E-01
YML078W,CPR3,-0.148,0.205,-0.421,6.43E-04,6.21E-05,4.92E-09
YGR294W,YGR294W,-0.169,0.058,0.162,1.00E-02,4.56E-01,2.54E-01
YDR133C,YDR133C,0.064,0.329,-0.213,1.04E-01,4.17E-06,4.01E-04
YGL190C,CDC55,-0.007,-0.035,-0.004,8.61E-01,4.62E-01,9.64E-01
YPR047W,MSF1,-0.182,0.231,-0.812,8.03E-04,5.27E-04,1.40E-07
YBR248C,HIS7,-0.258,-1.252,0.898,2.32E-06,1.65E-07,3.30E-05
YOL037C,YOL037C,-0.004,-0.059,0.724,9.59E-01,7.38E-01,3.64E-03
YNL058C,YNL058C,-0.515,-0.138,0.045,2.42E-09,1.71E-02,4.43E-01
YGR295C,COS6,-0.15,0.227,-0.534,6.87E-04,5.53E-05,4.99E-13
YER112W,LSM4,0.193,-0.181,0.151,7.05E-05,3.76E-03,1.37E-01
YDR060W,YDR060W,0.139,0.371,0,2.59E-01,2.39E-01,4.46E-01
YCR081W,SRB8,0.213,0.261,0.14,2.25E-02,5.39E-02,5.14E-01
YDR206W,EBS1,0.008,-0.111,0.389,9.06E-01,3.59E-01,9.01E-02
YGL263W,COS12,-0.562,-0.105,-0.093,2.25E-04,6.13E-01,5.61E-01
YCL050C,APA1,-0.252,-0.199,-0.286,3.35E-05,4.65E-03,2.33E-06
